,行政區,站牌名稱,可借車輛,可停空位
0,信義區,捷運市政府站(3號出口),104,75
1,大安區,捷運國父紀念館站(2號出口),33,15
2,信義區,台北市政府,33,7
3,信義區,市民廣場,22,38
4,信義區,興雅國中,14,45
5,信義區,臺北南山廣場,32,48
6,信義區,信義廣場(台北101),58,20
7,信義區,世貿三館,20,40
8,信義區,松德站,32,7
9,信義區,台北市災害應變中心,2,52
10,信義區,三張犁,14,36
11,信義區,臺北醫學大學,8,40
12,信義區,福德公園,24,33
13,中山區,榮星花園,7,25
14,松山區,饒河夜市,15,45
15,信義區,松山家商,9,39
16,松山區,民生光復路口,8,26
17,松山區,臺北市藝文推廣處,4,36
18,信義區,象山公園,30,0
19,大安區,捷運科技大樓站,16,54
20,松山區,民生敦化路口,38,27
21,信義區,松山車站,35,9
22,南港區,東新國小,11,21
23,大安區,信義建國路口,12,34
24,信義區,永吉松信路口,10,20
25,南港區,捷運昆陽站(1號出口),33,9
26,南港區,捷運南港展覽館站(5號出口),16,20
27,信義區,五常公園,7,25
28,大安區,金山愛國路口,28,26
29,大安區,基隆長興路口,21,53
30,大安區,辛亥新生路口,10,20
31,大安區,捷運六張犁站,3,34
32,松山區,中崙高中,29,17
33,中山區,捷運行天宮站(1號出口),12,20
34,中山區,捷運行天宮站(3號出口),1,29
35,大安區,臺大資訊大樓,57,15
36,大安區,捷運東門站(4號出口),1,44
37,大安區,臺灣師範大學(圖書館),0,34
38,南港區,南港世貿公園,25,1
39,南港區,玉成公園,2,32
40,南港區,中研公園,11,19
41,信義區,捷運後山埤站(1號出口),11,27
42,南港區,凌雲市場,6,30
43,南港區,捷運南港軟體園區站(2號出口),7,29
44,大安區,捷運公館站(2號出口),8,21
45,南港區,南港國小,9,49
46,大安區,捷運忠孝新生站(4號出口),25,8
47,南港區,南港車站(忠孝東路),4,34
48,大安區,龍門廣場,9,43
49,松山區,民權運動公園,16,36
50,中山區,建國農安街口,8,36
51,中山區,建國長春路口,13,17
52,中山區,八德市場,6,20
53,大安區,臺北市立圖書館(總館),27,3
54,松山區,臺北田徑場,42,4
55,中正區,仁愛林森路口,10,32
56,大安區,新生和平路口,17,29
57,中正區,捷運善導寺站(1號出口),29,19
58,中山區,林森公園,2,30
59,中山區,中山行政中心,11,19
60,大安區,台灣科技大學,52,34
61,中正區,南昌公園,25,9
62,大安區,仁愛醫院,20,16
63,中正區,國家圖書館,23,27
64,萬華區,青年公園3號出口,7,29
65,文山區,師範大學公館校區,13,29
66,中正區,捷運臺大醫院(4號出口),31,17
67,萬華區,國興青年路口,1,35
68,文山區,興豐公園,16,17
69,信義區,捷運台北101/世貿站,19,33
70,大安區,捷運信義安和站(4號出口),8,22
71,中山區,新生長安路口,20,22
72,大同區,酒泉延平路口,16,16
73,中正區,信義連雲街口,2,36
74,信義區,基隆光復路口,14,16
75,中山區,新生長春路口,1,35
76,松山區,民生活動中心,7,24
77,大同區,捷運圓山站(2號出口),21,31
78,大同區,捷運民權西路站(3號出口),21,29
79,萬華區,華江高中,2,42
80,大安區,捷運台電大樓站(2號出口),7,33
81,中正區,捷運西門站(3號出口),19,40
82,大安區,捷運大安森林公園站,47,27
83,萬華區,復華花園新城,1,37
84,大安區,信義敦化路口,27,19
85,松山區,民權復興路口,16,18
86,大安區,捷運大安站,0,51
87,信義區,捷運象山站,35,27
88,中正區,和平重慶路口,5,39
89,萬華區,老松國小,4,40
90,中山區,市立美術館,9,27
91,萬華區,開封西寧路口,18,24
92,信義區,吳興公車總站,30,26
93,文山區,捷運景美站,25,27
94,萬華區,東園國小,17,14
95,松山區,三民公園,5,25
96,士林區,捷運劍潭站(2號出口),12,40
97,文山區,羅斯福景隆街口,18,23
98,大同區,捷運雙連站(2號出口),11,31
99,中正區,金山市民路口,10,30
100,中正區,華山文創園區,33,17
101,中正區,臺北市客家文化主題公園,2,30
102,萬華區,萬華車站,13,47
103,文山區,台北花木批發市場,14,24
104,萬華區,峨嵋停車場,11,31
105,萬華區,西園艋舺路口,20,23
106,中正區,捷運小南門站(1號出口),33,20
107,大同區,臺北孔廟,4,28
108,中山區,林安泰古厝,18,18
109,內湖區,文湖國小,3,41
110,大安區,捷運忠孝復興站(2號出口),53,0
111,北投區,捷運新北投站,6,42
112,信義區,仁愛逸仙路口,11,26
113,士林區,蘭雅公園,18,12
114,中正區,臺北轉運站,25,41
115,士林區,福林公園,22,22
116,北投區,捷運北投站,10,48
117,北投區,大業大同街口,5,31
118,中山區,捷運劍南路站(2號出口),30,37
119,萬華區,捷運龍山寺站(1號出口),36,10
120,中山區,龍江南京路口,36,30
121,內湖區,捷運港墘站(2號出口),11,39
122,士林區,天母運動公園,10,32
123,北投區,振華公園,16,19
124,萬華區,華西公園,7,23
125,大安區,敦化基隆路口,21,9
126,內湖區,東湖國中,15,25
127,大安區,成功國宅,11,25
128,內湖區,捷運文德站(2號出口),6,44
129,中正區,羅斯福寧波東街口,17,9
130,內湖區,洲子二號公園,37,15
131,大安區,羅斯福新生南路口,22,66
132,士林區,蘭興公園,10,30
133,士林區,捷運芝山站(2號出口),6,58
134,北投區,捷運石牌站(2號出口),19,35
135,北投區,國立臺北護理健康大學,0,0
136,北投區,國防大學,30,16
137,信義區,捷運永春站(2號出口),30,0
138,大同區,永樂市場,26,11
139,大同區,捷運大橋頭站(2號出口),24,21
140,文山區,文山行政中心,11,25
141,文山區,捷運木柵站,15,36
142,文山區,捷運動物園站(2號出口),22,50
143,文山區,國立政治大學,10,48
144,大同區,樹德公園,10,30
145,士林區,捷運士林站(2號出口),22,24
146,士林區,士林運動中心,3,28
147,北投區,捷運明德站,5,27
148,北投區,北投運動中心,18,44
149,信義區,松德公園,17,21
150,文山區,考試院,9,24
151,士林區,百齡國小,20,19
152,大同區,蔣渭水紀念公園,5,28
153,士林區,中正基河路口,17,21
154,內湖區,瑞光港墘路口,4,25
155,內湖區,東湖國小,14,22
156,內湖區,麗山國小,6,36
157,內湖區,捷運東湖站,34,14
158,內湖區,捷運西湖站(1號出口),5,31
159,北投區,大豐公園,19,37
160,中山區,捷運中山國小站(4號出口),41,29
161,大安區,捷運麟光站,25,47
162,北投區,捷運奇岩站,32,23
163,北投區,捷運唭哩岸站(2號出口),42,20
164,文山區,臺北市立景美女中,5,29
165,士林區,臺北市立天文館,0,0
166,中正區,河堤國小,2,42
167,中正區,植物園,20,24
168,松山區,新東公園,17,33
169,文山區,文山運動中心,25,13
170,松山區,捷運南京三民站(1號出口),16,8
171,中山區,捷運松江南京站(7號出口),27,28
172,松山區,捷運小巨蛋站(5號出口),7,41
173,松山區,捷運南京復興站(5號出口),26,25
174,中山區,興安華城,23,68
175,士林區,葫蘆國小,15,24
176,士林區,延平國宅,4,28
177,南港區,南港公園,1,51
