sno,snc,借車場站,sarea,ar,lat,lng,測站,HubDist
"1",A1,捷運市政府站(3號出口),信義區,忠孝東路/松仁路(東南側),25.0408,121.568,信義,484.970279512563
"2",A2,捷運國父紀念館站(2號出口),大安區,忠孝東路四段/光復南路口(西南側),25.0412,121.557,信義,845.412655927418
"3",A3,台北市政府,信義區,台北市政府東門(松智路) (鄰近信義商圈/台北探索館),25.0378,121.565,信義,50.4595905071906
"4",A4,市民廣場,信義區,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),25.036,121.562,信義,321.57802948645
"5",A5,興雅國中,信義區,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),25.0365,121.569,信義,476.423708848812
"6",A6,臺北南山廣場,信義區,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),25.0378,121.565,信義,50.4595905071906
"7",A7,信義廣場(台北101),信義區,松智路/信義路(東北側) (鄰近台北101),25.033,121.566,信義,552.842187508722
"8",A8,世貿三館,信義區,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),25.0358,121.564,信義,227.220656175825
"9",A9,松德站,信義區,台北市信義區松德路300號,25.0366,121.573,信義,868.055462603981
"10",A10,台北市災害應變中心,信義區,台北市信義區莊敬路391巷11弄2號,25.0286,121.566,信義,1030.29744903357
"11",A11,三張犁,信義區,光復南路/基隆路一段364巷(鄰近大安親子館),25.0349,121.558,信義,730.417646249716
"12",A12,臺北醫學大學,信義區,台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學),25.0266,121.562,信義,1266.05745617846
"13",A13,福德公園,信義區,大道路/福德街路口北西側,25.0381,121.584,信義,1968.20224831805
"14",A14,榮星花園,中山區,五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園)),25.0642,121.541,大直,1539.42991635236
"15",A15,饒河夜市,松山區,八德路/松信路(西南側),25.0494,121.572,信義,1491.30482970052
"16",A16,松山家商,信義區,林口街/福德街(東南側),25.0361,121.579,信義,1475.4054633959
"17",A17,民生光復路口,松山區,光復北路/民生東路(西北側),25.0588,121.555,松山,1211.27924558701
"18",A18,臺北市藝文推廣處,松山區,北寧路34號 對側(鄰近台北田徑場),25.0483,121.552,松山,167.426359601645
"19",A19,象山公園,信義區,松仁路153巷17號對面(鄰近象山步道),25.0286,121.57,信義,1160.47627545208
"20",A20,捷運科技大樓站,大安區,科技大樓站對面(復興南路2段西側)(鄰近資訊科學展示中心),25.026,121.543,松山,2623.11167478824
"21",A21,民生敦化路口,松山區,敦化民生路口公車站旁,25.058,121.549,松山,1039.836122183
"22",A22,松山車站,信義區,松山車站西出口外自行車格內(鄰近饒河街夜市/五分埔),25.0494,121.572,信義,1491.30482970052
"23",A23,東新國小,南港區,東新國小側門(東明街62號前),25.0551,121.603,南港,34.7302650171145
"24",A24,信義建國路口,大安區,信義路三段/建國南路二段(西南側)(鄰近大安森林公園),25.0333,121.537,松山,2176.87890038112
"25",A25,永吉松信路口,信義區,松信路/永吉路南西側人行道,25.0454,121.572,信義,1132.08333789538
"26",A26,捷運昆陽站(1號出口),南港區,捷運昆陽站1號出口外停車場旁,25.0502,121.592,南港,1241.59181418477
"27",A27,捷運南港展覽館站(5號出口),南港區,研究院路/市民大道(東北側)(鄰近南港展覽館),25.0549,121.617,南港,1423.83792217696
"28",A28,五常公園,信義區,松隆路/虎林街30巷口(西南側),25.0481,121.575,信義,1557.10429192964
