sno,snc,借車場站,sarea,ar,lat,lng,測站,HubDist
"1",A1,捷運市政府站(3號出口),信義區,忠孝東路/松仁路(東南側),25.0408,121.568,松山,1478.23705036936
"2",A2,捷運國父紀念館站(2號出口),大安區,忠孝東路四段/光復南路口(西南側),25.0412,121.557,松山,2388.77661357704
"3",A3,台北市政府,信義區,台北市政府東門(松智路) (鄰近信義商圈/台北探索館),25.0378,121.565,松山,1926.91541059285
"4",A4,市民廣場,信義區,市府路/松壽路(西北側)(鄰近台北101/台北世界貿易中心/台北探索館),25.036,121.562,松山,2283.64757878735
"5",A5,興雅國中,信義區,松仁路/松仁路95巷(東南側)(鄰近信義商圈/台北信義威秀影城),25.0365,121.569,松山,1782.4247771457
"6",A6,臺北南山廣場,信義區,松智路/松廉路(東北側) (鄰近台北101/信義商圈/台北信義威秀影城),25.0378,121.565,松山,1926.91541059285
"7",A7,信義廣場(台北101),信義區,松智路/信義路(東北側) (鄰近台北101),25.033,121.566,松山,2272.86153998446
"8",A8,世貿三館,信義區,市府路/松壽路(東南側) (鄰近台北101/台北世界貿易中心/台北探索館),25.0358,121.564,松山,2156.00052722071
"9",A9,松德站,信義區,台北市信義區松德路300號,25.0366,121.573,松山,1588.6973894681
"10",A10,台北市災害應變中心,信義區,台北市信義區莊敬路391巷11弄2號,25.0286,121.566,松山,2690.58045902762
"11",A11,三張犁,信義區,光復南路/基隆路一段364巷(鄰近大安親子館),25.0349,121.558,松山,2669.10488610198
"12",A12,臺北醫學大學,信義區,台北醫學大學(吳興街220巷59弄)(鄰近台北醫學大學),25.0266,121.562,松山,3086.93461326796
"13",A13,福德公園,信義區,大道路/福德街路口北西側,25.0381,121.584,松山,1425.97736840731
"14",A14,榮星花園,中山區,五常街/龍江路口(西南側)(鄰近榮星公園(原榮星花園)),25.0642,121.541,中山,1474.34210945122
"15",A15,饒河夜市,松山區,八德路/松信路(西南側),25.0494,121.572,松山,670.415060448433
"16",A16,松山家商,信義區,林口街/福德街(東南側),25.0361,121.579,松山,1540.25236463696
"17",A17,民生光復路口,松山區,光復北路/民生東路(西北側),25.0588,121.555,松山,2574.1935205974
"18",A18,臺北市藝文推廣處,松山區,北寧路34號 對側(鄰近台北田徑場),25.0483,121.552,松山,2691.90815784431
"19",A19,象山公園,信義區,松仁路153巷17號對面(鄰近象山步道),25.0286,121.57,松山,2524.81425225546
